#A,B,Weight
9820,5255,65
8982,5255,23
7007,11620,2
7007,467,1
7007,11566,1
11620,467,1
11620,11566,1
467,11566,1
9820,1567,1
4235,1567,1
4235,15108,234
3138,1567,1
3138,12726,3
3138,16713,4
1567,15108,1
1567,1784,1
1567,12726,1
1567,3014,1
1567,16713,1
3014,16713,5
1327,17215,2
4931,17215,1
12907,17215,1
8732,17263,4
8732,10167,3
8732,12343,1
8732,19241,1
8732,7595,1
8732,12446,1
8732,6023,4
8732,10512,1
8732,10307,1
8732,5855,1
8732,17046,3
17606,17263,7
17606,15066,12
17606,15746,57
17606,2521,5
17606,7595,1
17606,12446,2
17606,6023,1
17606,10512,1
17606,10307,1
17606,5855,1
17606,17046,2
17740,17263,2
17740,9072,2
17740,10167,2
17740,15066,2
17740,15746,8
17740,12343,1
17740,19241,1
17740,2521,1
17740,7595,1
17740,12446,1
17740,6023,1
17740,10512,1
17740,10307,1
17740,5855,1
17740,17046,1
17263,10167,2
17263,15066,1
17263,12343,1
17263,19241,1
17263,2521,2
17263,7595,1
17263,12446,1
17263,6023,1
17263,10512,1
17263,10307,1
17263,5855,1
17263,17046,1
9072,10167,3
9072,12343,1
9072,19241,1
9072,7595,1
9072,12446,1
9072,6023,1
